species_name,slope,intercept,p_value,decade_change_lwr,decade_change_upr,se,sd_residuals,aic,bic,sig,decade_change,biogeog,taxon,class,max_depth,max_length,endemism,IUCN,IUCN_category,date_assessed,slope_category,provisional_status
Hemineura frondosa,-0.002453743,3.74833692,0.186711273,-13.09188323,2.769629723,0.001857291,1.121554313,3172.938192,3193.2985,,-5.493307221,temperate (cool),Macroalgae,Red algae,604,60,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Lenormandia marginata,-0.001085097,1.668338216,0.406311445,-8.05062278,3.454473391,0.001306159,1.824738512,2315.375688,2335.198058,,-2.467572578,temperate (cool),Macroalgae,Red algae,25,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Lessonia corrugata,-0.029043617,58.27633952,1.90E-19,-55.38604363,-41.16213346,0.00306603,3.343828114,1256.306393,1272.787582,***,-48.76534365,temperate (cool),Macroalgae,Brown algae,20,200,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Mastophoropsis canaliculata,0.009751515,-20.65027128,0.001938858,8.71669275,44.12325614,0.003123472,0.647066696,603.0637964,618.7715005,**,25.17429351,temperate (cool),Macroalgae,Red algae,18,15,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Melanthalia obtusata,-0.01029635,20.26610757,8.04E-04,-31.29191825,-9.41314782,0.003062744,1.701709181,2534.397324,2554.150461,***,-21.10735874,temperate (cool),Macroalgae,Red algae,16,60,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Perithalia caudata,-0.018514678,36.82056346,3.92E-10,-42.76404976,-25.52036607,0.002917621,2.852648529,2470.541538,2489.037799,***,-34.70901577,temperate (cool),Macroalgae,Brown algae,18,100,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Phacelocarpus peperocarpos,-0.004094311,8.118620093,0.005287343,-14.82187295,-2.773266323,0.001465782,2.227391149,3754.875021,3776.269372,**,-8.996752402,temperate (cool),Macroalgae,Red algae,30,50,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Phyllospora comosa,0.004659616,-8.284314862,1.70E-04,5.287705406,17.7103519,0.00123566,6.208441117,2850.156502,2871.139122,***,11.32588582,temperate (cool),Macroalgae,Brown algae,30,300,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Plocamium dilatatum,-0.005552984,10.62676123,0.00777322,-19.89811647,-3.328691199,0.002083071,2.163692496,3957.214281,3978.194048,**,-12.00253459,temperate (cool),Macroalgae,Red algae,22,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Plocamium patagiatum,0.005820887,-12.88626914,0.014736911,2.688740087,27.31949421,0.002381985,1.006921684,2068.557589,2087.668175,*,14.34281109,temperate (cool),Macroalgae,Red algae,26,30,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Sargassum vestitum,0.014444115,-29.90549248,1.02E-11,26.84588166,53.32251229,0.002100282,1.399584856,2590.837645,2610.911252,***,39.45726675,temperate (cool),Macroalgae,Brown algae,100,150,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Amphiroa anceps,0.027783234,-56.13740449,8.76E-23,67.26417929,114.9125283,0.002777061,2.010513857,4432.239349,4453.298269,***,89.59738307,temperate (warm),Macroalgae,Red algae,145,20,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Carpoglossum confluens,-0.007609349,15.54226048,3.32E-07,-21.49850968,-10.27052587,0.001481079,4.219894587,2673.736721,2693.774356,***,-16.07206993,temperate (cool),Macroalgae,Brown algae,40,200,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Champia viridis,-0.01940509,37.93625411,8.92E-27,-40.91525745,-30.74951072,0.001758897,0.96527392,2097.208778,2116.895411,***,-36.03401427,temperate (cool),Macroalgae,Red algae,15,15,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Echinothamnion hystrix,0.035418927,-72.05410527,6.20E-36,99.90400221,155.5977657,0.002722896,2.490336323,3557.206616,3577.009875,***,126.0420676,temperate (cool),Macroalgae,Red algae,24,35,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Sargassum fallax,0.009594474,-19.67420162,2.06E-08,15.50328381,34.67753057,0.001701583,3.754004638,4761.434463,4782.721861,***,24.72248007,temperate (cool),Macroalgae,Brown algae,100,100,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Sargassum sonderi,0.032668622,-66.14993871,1.30E-23,84.11838522,144.4979888,0.003142357,3.212098146,2315.055442,2333.242583,***,112.1710982,temperate (cool),Macroalgae,Brown algae,100,50,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Cystophora moniliformis,-0.008999661,17.92873512,7.04E-06,-25.71418173,-11.0592328,0.001994806,2.538865588,3466.43633,3487.238029,***,-18.71631363,temperate (cool),Macroalgae,Brown algae,132,400,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Dictyomenia tridens,0.003966508,-9.023512673,0.107819979,-1.962059708,22.4435712,0.002462847,0.952017177,1189.890342,1207.504638,,9.563294594,temperate (warm),Macroalgae,Red algae,30,40,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Plocamium mertensii,0.008842793,-18.75554264,6.69E-06,12.23345522,33.88549167,0.001954403,0.90673015,2406.462222,2426.693814,***,22.58234512,temperate (cool),Macroalgae,Red algae,50,50,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Pollexfenia lobata,0.002107987,-4.988376033,0.387369054,-5.960329998,17.17869168,0.002437227,2.456151226,2389.764352,2408.287086,,4.973546652,temperate (cool),Macroalgae,Red algae,364,50,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Thamnoclonium dichotomum,-0.003191195,5.807933418,0.095431827,-14.76482812,1.287828081,0.001911729,2.4246295,2733.258349,2752.432213,,-7.084525316,temperate (cool),Macroalgae,Red algae,32,30,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Acrocarpia paniculata,-0.006298321,12.83996495,2.87E-04,-20.00339667,-6.467610057,0.001731932,3.891252138,3653.939153,3674.864302,***,-13.49986418,temperate (cool),Macroalgae,Brown algae,42,150,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Zonaria spiralis,0.018338727,-37.80366734,3.65E-12,35.76880237,71.38568669,0.002581031,0.774896097,1145.497214,1163.010919,***,52.54123844,temperate (cool),Macroalgae,Brown algae,150,22,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Apjohnia laetevirens,-0.001949647,2.782952377,0.236086367,-11.22546759,2.971885053,0.00164366,0.365519722,456.4244324,473.7146933,,-4.389953735,temperate (cool),Macroalgae,Green algae,30,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Phyllotricha decipiens,0.005954141,-12.72609981,0.082156343,-1.710639352,33.83703771,0.003420211,1.407054508,1831.136083,1849.408395,,14.69418846,temperate (cool),Macroalgae,Brown algae,13,50,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Botryocladia sonderi,-0.003573075,6.574106046,0.352963415,-22.55978119,9.539794167,0.003842044,1.005019461,875.1642478,891.2483412,,-7.897960781,temperate (warm),Macroalgae,Red algae,10,20,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Caulerpa cactoides,0.004287084,-9.488140114,0.263412801,-7.143674052,31.19889438,0.003829629,1.217221371,1594.806203,1612.367165,,10.37503024,temperate (cool),Macroalgae,Green algae,38,40,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Caulocystis cephalornithos,-0.015754344,30.92177546,1.05E-05,-40.70282475,-18.36448758,0.003542032,2.60237547,1874.995006,1892.405523,***,-30.42446344,temperate (cool),Macroalgae,Brown algae,7,100,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Codium pomoides,0.002465454,-6.024665192,0.236693503,-3.649583449,16.26673766,0.002081719,0.453270574,955.8510149,974.1120748,,5.841147975,temperate (cool),Macroalgae,Green algae,20,12,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Cystophora brownii,0.008370261,-17.47835479,5.46E-04,8.817157089,35.1163314,0.00239827,0.923969621,577.0569341,592.6565235,***,21.25582484,temperate (cool),Macroalgae,Brown algae,12,60,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Cystophora expansa,0.019869202,-40.49563693,1.43E-10,37.91898492,81.03393168,0.003013727,1.326491232,873.6153436,889.6799722,***,58.01270865,temperate (cool),Macroalgae,Brown algae,4,60,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Lobospira bicuspidata,0.041484484,-84.02420345,1.13E-24,117.8322749,210.1469114,0.003914491,1.506718045,2285.726005,2304.587538,***,159.9230795,temperate (warm),Macroalgae,Brown algae,13,25,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Metagoniolithon radiatum,0.02352619,-47.945767,1.35E-12,48.34603497,99.18097343,0.003264649,1.115166924,2118.537521,2137.350273,***,71.89446661,temperate (cool),Macroalgae,Red algae,32,15,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Pachydictyon paniculatum,0.020801849,-42.65713059,1.32E-13,42.5746143,82.80781954,0.002753943,0.89611245,1480.156154,1498.51186,***,61.44272781,temperate (warm),Macroalgae,Brown algae,11,35,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Phyllotricha varians,-0.005750411,10.95354291,0.026744458,-22.06848889,-1.535725162,0.002591007,3.42663916,2920.771031,2939.613123,*,-12.40165681,temperate (cool),Macroalgae,Brown algae,38,50,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Cystophora monilifera,0.02444423,-49.51530742,9.45E-15,52.60396617,101.9848456,0.003106,2.638147744,3162.688858,3182.379433,***,75.56676378,temperate (cool),Macroalgae,Brown algae,132,100,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Cystophora subfarcinata,-0.002660888,4.839987352,0.365990964,-17.63378223,7.407133417,0.002940972,1.515487184,1319.499637,1336.944846,,-5.942999511,temperate (cool),Macroalgae,Brown algae,132,200,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Caulerpa trifaria,0.008842319,-17.97171313,0.001961694,7.809887967,39.37593474,0.002845185,5.386223101,2485.809436,2504.109739,**,22.58100958,temperate (cool),Macroalgae,Green algae,31,25,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Cystophora retorta,-0.009656477,18.95998871,0.006591293,-31.76059039,-6.063319525,0.00354088,2.642938873,1638.190028,1655.621397,**,-19.93637769,temperate (cool),Macroalgae,Brown algae,132,120,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Plocamium preissianum,-0.010371018,19.93114321,0.00213925,-32.34566835,-8.318008148,0.003367114,1.058084595,2304.84907,2323.815873,**,-21.24288043,temperate (warm),Macroalgae,Red algae,50,50,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Scytothalia dorycarpa,-0.062911995,127.09603,4.41E-19,-82.25120873,-68.91210446,0.006209873,3.368059834,515.5859744,528.6159559,***,-76.5101603,temperate (cool),Macroalgae,Brown algae,44,200,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Endangered
Seirococcus axillaris,-0.001455441,2.844664553,0.310779637,-9.359754197,3.173959868,0.00143495,3.327892696,2274.173012,2292.911459,,-3.295744236,temperate (cool),Macroalgae,Brown algae,12,200,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Caulerpa scalpelliformis,0.008177628,-17.16719961,2.42E-04,9.212304643,33.4384524,0.002219669,2.796767262,3788.408191,3808.188395,***,20.71918205,temperate (cool),Macroalgae,Green algae,36,20,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Caulerpa simpliciuscula,0.006404217,-13.78829207,0.010365403,3.560637115,29.68496543,0.002492263,1.954479263,2701.353498,2720.111895,*,15.88898845,temperate (cool),Macroalgae,Green algae,38,30,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Callophycus dorsifer,0.009662751,-19.99140275,0.059573044,-0.792847087,57.29395367,0.005106447,1.083980732,587.2040405,601.6125157,,24.91871483,temperate (cool),Macroalgae,Red algae,8,25,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Callophycus harveyanus,0.008168911,-17.1694058,0.066474802,-1.166752016,47.39242331,0.004427941,0.597443858,299.3390649,312.7464974,,20.69495401,temperate (cool),Macroalgae,Red algae,14,40,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Callophycus oppositifolius,-0.006045248,12.04409389,0.1394611,-27.62325431,4.591403975,0.004079079,1.690365062,675.7650249,690.685424,,-12.9943367,temperate (cool),Macroalgae,Red algae,38,30,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Claviclonium ovatum,-0.011819195,22.97252938,4.27E-05,-33.03168608,-13.3543577,0.002854067,0.565294359,463.8265459,479.6911329,***,-23.82577488,temperate (cool),Macroalgae,Red algae,14,30,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Curdiea irvineae,-0.02761031,55.5195937,7.92E-11,-55.99440349,-36.27851551,0.004101554,2.033596599,724.2775858,739.6401524,***,-47.04622832,temperate (cool),Macroalgae,Red algae,14,30,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Hennedya crispa,0.013564393,-27.15564369,0.01371157,6.75474999,74.94464434,0.005472382,2.606665144,929.3880819,944.6206519,*,36.6607909,temperate (cool),Macroalgae,Red algae,22,20,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Hypnea ramentacea,-0.010685682,20.83122325,0.002889002,-33.46798395,-8.112659444,0.003577234,2.66275591,3272.646277,3292.171922,**,-21.81144574,temperate (warm),Macroalgae,Red algae,25,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Kuetzingia canaliculata,0.027625289,-56.15735185,5.57E-08,51.30799367,135.8543644,0.004918,0.902128627,443.2758555,457.1311827,***,88.90910692,temperate (cool),Macroalgae,Red algae,12,50,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Metagoniolithon stelliferum,0.028313193,-57.46066505,5.96E-09,54.95604428,137.7143168,0.004741077,1.352688808,876.9599037,892.3801914,***,91.92516823,temperate (cool),Macroalgae,Red algae,22,30,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Metamastophora flabellata,-0.004449793,8.604429894,0.05603563,-18.72998339,0.247554125,0.00232513,1.500082956,2066.407185,2085.155619,,-9.738599674,temperate (warm),Macroalgae,Red algae,48,23,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Neurymenia fraxinifolia,8.09E-04,-1.623130722,0.725500003,-8.173625457,13.03714069,0.002302433,1.54849493,556.6847345,570.8965728,,1.881258423,tropical,Macroalgae,Red algae,10,9,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Osmundaria spiralis,-0.023917344,47.54621418,1.22E-04,-56.25619262,-24.01348192,0.006117969,1.282617239,573.360456,587.2495387,***,-42.3463825,temperate (cool),Macroalgae,Red algae,25,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Thuretia quercifolia,-0.010716592,20.76199744,0.012022839,-35.46456291,-5.404623751,0.0042366,0.628089547,366.0816004,380.3089126,*,-21.8670751,temperate (cool),Macroalgae,Red algae,20,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Caulerpa obscura,0.00849856,-17.6068077,0.075342535,-1.94369499,50.83276175,0.00477101,2.580434874,2338.662313,2356.643375,,21.61456858,temperate (warm),Macroalgae,Green algae,35,30,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Caulerpa longifolia,0.066784261,-135.1622986,1.20E-83,306.0395474,433.4784483,0.003024253,2.620942125,3153.601706,3172.166435,***,365.4173908,temperate (cool),Macroalgae,Green algae,40,30,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Areschougia congesta,0.03430869,-69.72521324,2.07E-24,90.38165971,155.0050024,0.003237906,1.216497981,1732.878526,1751.173247,***,120.3367323,temperate (cool),Macroalgae,Red algae,20,40,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Dictyomenia harveyana,-0.001977859,2.856689116,0.270831451,-11.88497861,3.607900229,0.001794495,0.620229918,742.0304919,759.6115383,,-4.45204165,temperate (cool),Macroalgae,Red algae,28,40,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Stylophora pistillata,0.012609335,-25.22031815,4.25E-06,18.32281547,51.0491195,0.002705399,1.301652537,348.6868258,365.1238161,***,33.68828331,tropical,Invertebrate,Anthozoa,70,15,endemic,Near Threatened,A3ce,27/10/2023,increasing,Least Concern
Amblypneustes leucoglobus,-0.020112637,39.66303602,2.60E-09,-45.7391476,-27.010457,0.003285112,0.577938861,353.6847597,369.0240027,***,-37.06769653,temperate (cool),Invertebrate,Echinoidea,10,5,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Amblypneustes ovum,0.001043835,-3.156994741,0.515068686,-4.716333017,10.11797864,0.001603085,0.712710234,2315.816259,2336.57293,,2.432635454,temperate (cool),Invertebrate,Echinoidea,70,6,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Aphelodoris varia,-0.024456019,48.34654813,9.69E-08,-53.61102749,-30.10198141,0.004542178,1.325514973,2242.096034,2260.738335,***,-43.05707012,temperate (warm),Invertebrate,Gastropoda,30,7.6,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Ascarosepion apama,-4.57E-04,-0.207062265,0.620297615,-5.082382704,3.159747066,9.23E-04,0.324443968,790.8590031,812.5628177,,-1.047095079,temperate (cool),Invertebrate,Cephalopoda,100,100,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Ascarosepion mestus,0.008155121,-17.6393199,0.03402822,1.479426459,43.45788465,0.003835438,0.469491006,693.6754742,710.3789433,*,20.65663618,temperate (warm),Invertebrate,Cephalopoda,25,20,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Ascarosepion plangon,0.027533037,-56.42681061,1.14E-06,46.69834892,142.2342357,0.005556487,0.841810356,764.3054913,779.7027904,***,88.50825558,temperate (warm),Invertebrate,Cephalopoda,85,13,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Astralium tentoriiforme,0.04668662,-92.71946257,3.65E-69,161.2002846,228.6690016,0.002545585,10.74269302,7509.030907,7531.296151,***,192.9990388,temperate (warm),Invertebrate,Gastropoda,12,6,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Astralium tentorium,0.036121139,-73.25113855,2.13E-13,84.83672679,185.5186743,0.004817595,2.0893944,2039.612102,2057.544532,***,129.7266576,temperate (warm),Invertebrate,Gastropoda,11,4.7,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Bellastraea aurea,0.029452836,-60.09027518,3.38E-55,81.7655107,113.5724564,0.001786608,1.441892042,2763.974644,2784.344939,***,97.02818737,temperate (cool),Invertebrate,Gastropoda,5,2,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Bellastraea squamifera,-0.007276513,13.75338903,0.015050153,-26.09862263,-3.212958543,0.00298895,2.222477563,4849.362106,4870.523277,*,-15.42638901,temperate (warm),Invertebrate,Gastropoda,5,3,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Cabestana spengleri,0.023283471,-47.70484895,1.64E-31,56.40563696,86.81726791,0.001968521,1.552802677,8332.929114,8356.636968,***,70.93646124,temperate (cool),Invertebrate,Gastropoda,35,17,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Campanile symbolicum,-0.054465509,109.3580159,4.83E-31,-76.60172813,-65.20586601,0.004396057,2.625998187,1456.869947,1474.036224,***,-71.46716617,temperate (warm),Invertebrate,Gastropoda,40,23,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Endangered
Cenolia tasmaniae,-0.039277536,78.39627787,1.19E-71,-63.15584455,-55.52861264,0.00208453,4.04740999,6203.27467,6224.798186,***,-59.52147843,temperate (cool),Invertebrate,Crinoidea,63,30,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Endangered
Cenolia trichoptera,0.017822129,-35.21360879,4.49E-119,45.79072682,55.85210665,7.39E-04,10.76709022,16880.2332,16905.13414,***,50.73749336,temperate (cool),Invertebrate,Crinoidea,70,46,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Centrostephanus rodgersii,0.009590562,-17.60612118,7.69E-12,17.10573318,32.81070634,0.001394284,11.25784792,7691.177933,7714.720755,***,24.71124704,temperate (warm),Invertebrate,Echinoidea,35,10,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Centrostephanus tenuispinus,0.066114408,-133.2970305,1.13E-37,267.8774454,470.9327927,0.004869524,3.374346919,2797.004052,2815.521505,***,358.2938984,temperate (warm),Invertebrate,Echinoidea,104,9,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Ceratosoma brevicaudatum,0.006950805,-15.25447868,1.69E-05,9.130757383,26.20278521,0.001610279,0.535402477,2474.850667,2496.049856,***,17.35674473,temperate (cool),Invertebrate,Gastropoda,100,15,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Chromodoris westraliensis,0.009845211,-20.37262154,0.008368419,6.041505008,48.398102,0.003723346,1.318089171,1614.216154,1632.57186,**,25.44464148,temperate (warm),Invertebrate,Gastropoda,18,6,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Clanculus undatus,0.004928923,-10.98801005,0.030937696,1.077147572,24.14392753,0.002277402,0.685244829,677.4509675,694.2285891,*,12.01836494,temperate (cool),Invertebrate,Gastropoda,20,4,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Conus anemone,0.001148658,-3.419579874,0.356883433,-2.93540589,8.620631144,0.001246234,0.340256847,716.7430517,736.8023091,,2.680170793,temperate (cool),Invertebrate,Gastropoda,130,10.5,endemic,Least Concern,Not applicable,26/10/2011,increasing,Least Concern
Doris chrysoderma,0.014855013,-30.98645322,1.37E-05,20.7941522,64.07951052,0.003393135,0.739357916,1664.85371,1683.392244,***,40.78297257,temperate (warm),Invertebrate,Gastropoda,30,5,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Echinaster arcystatus,-0.003122706,5.352747589,0.134812223,-15.30047028,2.250369376,0.002086362,0.569367161,1363.113257,1382.375817,,-6.937879886,temperate (cool),Invertebrate,Asteroidea,40,36,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Fromia polypora,-0.005124833,9.550548279,0.001318944,-17.29630826,-4.505480274,0.001593232,0.921561243,3923.142902,3945.453437,**,-11.13071778,temperate (cool),Invertebrate,Asteroidea,30,22,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Fusinus australis,0.008000512,-17.11948513,0.002322246,6.882449211,35.23958903,0.002607126,0.391586608,312.3697655,327.7206873,**,20.22786077,temperate (cool),Invertebrate,Gastropoda,40,13,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Goniobranchus tasmaniensis,-7.00E-05,-0.967107781,0.97996747,-11.95856713,13.21733516,0.002786424,0.64816261,949.2314037,966.4565049,,-0.161047616,temperate (cool),Invertebrate,Gastropoda,60,7,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Least Concern
Goniocidaris impressa,-0.058608324,117.3228655,3.46E-136,-76.26992061,-71.65122277,0.00197032,3.172698248,2629.004822,2648.388342,***,-74.06317802,temperate (cool),Invertebrate,Echinoidea,630,6,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Endangered
Goniocidaris tubaria,0.01741444,-36.35837112,2.39E-06,26.57409731,76.1748744,0.00366331,0.726403376,1856.453403,1875.075164,***,49.32908523,temperate (cool),Invertebrate,Echinoidea,630,6,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Haliotis laevigata,0.029473491,-58.95358009,1.37E-08,56.24963646,148.6856927,0.005148865,10.65307364,5629.082157,5648.756938,***,97.12191424,temperate (cool),Invertebrate,Gastropoda,40,23,endemic,Vulnerable,A2bd,14/01/2021,increasing,Least Concern
Haliotis rubra,-0.005407014,11.91124436,1.21E-04,-17.12829833,-5.929496206,0.001404291,12.08411459,11871.75773,11895.8111,***,-11.70627017,temperate (cool),Invertebrate,Gastropoda,40,22,endemic,Vulnerable,A2ac,14/01/2021,declining,Least Concern
