"site_yr","site_code","survey_year","species_name","total_per50m2","minN","location","ecoregion","latitude","longitude","n_sites_byspp","n_obs_byspp","log_count","n_site_species"
"NMP-S1_2022","NMP-S1",2022,"Drupella cornus",3.5,1,"Ningaloo Reef","Ningaloo",-23,114,5,405,0.602059991327962,5
"NMP-S1_2022","NMP-S1",2022,"Nardoa variolata",3.66666666666667,2.33333333333333,"Ningaloo Reef","Ningaloo",-23,114,8,173,0.684246747515312,8
"NMP-S1_2022","NMP-S1",2022,"Linckia laevigata",1,1,"Ningaloo Reef","Ningaloo",-23,114,4,278,0.176091259055681,4
"NMP19_2022","NMP19",2022,"Drupella cornus",10.5,1,"Ningaloo Reef","Ningaloo",-23,114,5,405,1.04139268515823,5
"NMP19_2022","NMP19",2022,"Echinometra mathaei",11.5,2.5,"Ningaloo Reef","Ningaloo",-23,114,8,1030,1.10551018476997,8
"NMP19_2022","NMP19",2022,"Holothuria atra",1.5,1,"Ningaloo Reef","Ningaloo",-23,114,8,336,0.301029995663981,8
"NMP19_2022","NMP19",2022,"Nardoa variolata",1.5,1,"Ningaloo Reef","Ningaloo",-23,114,8,173,0.301029995663981,8
"NMP19_2022","NMP19",2022,"Stichopus chloronotus",5,1,"Ningaloo Reef","Ningaloo",-23,114,7,175,0.740362689494244,7
"NMP19_2022","NMP19",2022,"Tripneustes gratilla",1,1,"Ningaloo Reef","Ningaloo",-23,114,4,311,0.176091259055681,4
"NMP8_2022","NMP8",2022,"Drupella cornus",8,2,"Ningaloo Reef","Ningaloo",-23,114,4,405,0.954242509439325,4
"NMP8_2022","NMP8",2022,"Echinometra mathaei",3,1,"Ningaloo Reef","Ningaloo",-23,114,5,1030,0.544068044350276,5
"NMP8_2022","NMP8",2022,"Holothuria atra",1,1,"Ningaloo Reef","Ningaloo",-23,114,5,336,0.176091259055681,5
"NMP8_2022","NMP8",2022,"Stichopus chloronotus",11,1.5,"Ningaloo Reef","Ningaloo",-23,114,7,175,1.07003786660776,7
"NMP26_2022","NMP26",2022,"Echinometra mathaei",682.5,682.5,"Ningaloo Reef","Ningaloo",-23,114,5,1030,3.01019391476847,5
"NMP26_2022","NMP26",2022,"Nardoa variolata",5,3,"Ningaloo Reef","Ningaloo",-23,114,5,173,0.812913356642856,5
"NMP26_2022","NMP26",2022,"Tripneustes gratilla",3,1,"Ningaloo Reef","Ningaloo",-23,114,4,311,0.544068044350276,4
"NMP6_2022","NMP6",2022,"Drupella cornus",46,1,"Ningaloo Reef","Ningaloo",-23,114,8,405,1.66745295288995,8
"NMP6_2022","NMP6",2022,"Echinometra mathaei",2,1,"Ningaloo Reef","Ningaloo",-23,114,6,1030,0.397940008672038,6
"NMP6_2022","NMP6",2022,"Nardoa variolata",2,1,"Ningaloo Reef","Ningaloo",-23,114,5,173,0.397940008672038,5
"NIN-S3_2022","NIN-S3",2022,"Cenolia trichoptera",148.25,55,"Ninepin Point","Bassian",-43,147,15,1923,2.24489533369186,15
"NIN-S3_2022","NIN-S3",2022,"Cenolia tasmaniae",5.5,1,"Ninepin Point","Bassian",-43,147,8,346,0.778151250383644,8
"NIN-S3_2022","NIN-S3",2022,"Heliocidaris erythrogramma",16,11,"Ninepin Point","Bassian",-43,147,15,2169,1.33243845991561,15
"NIN-S3_2022","NIN-S3",2022,"Nectria ocellata",1,1,"Ninepin Point","Bassian",-43,147,13,719,0.176091259055681,13
"NIN-S3_2022","NIN-S3",2022,"Jasus edwardsii",1,1,"Ninepin Point","Bassian",-43,147,12,936,0.176091259055681,12
"NIN-S3_2022","NIN-S3",2022,"Haliotis rubra",1,1,"Ninepin Point","Bassian",-43,147,11,1623,0.176091259055681,11
"NIN-S3_2022","NIN-S3",2022,"Petricia vernicina",1,1,"Ninepin Point","Bassian",-43,147,14,1072,0.176091259055681,14
"NIN-S1_2022","NIN-S1",2022,"Cenolia trichoptera",255.25,63.25,"Ninepin Point","Bassian",-43,147,15,1923,2.45769270288134,15
"NIN-S1_2022","NIN-S1",2022,"Cenolia tasmaniae",5,1,"Ninepin Point","Bassian",-43,147,10,346,0.740362689494244,10
"NIN-S1_2022","NIN-S1",2022,"Heliocidaris erythrogramma",20.3333333333333,3,"Ninepin Point","Bassian",-43,147,15,2169,1.33912004527212,15
"NIN-S1_2022","NIN-S1",2022,"Petricia vernicina",2,1,"Ninepin Point","Bassian",-43,147,14,1072,0.397940008672038,14
"NIN-S1_2022","NIN-S1",2022,"Cabestana spengleri",2,1,"Ninepin Point","Bassian",-43,147,4,823,0.397940008672038,4
"NIN-S1_2022","NIN-S1",2022,"Jasus edwardsii",1,1,"Ninepin Point","Bassian",-43,147,14,936,0.176091259055681,14
"NIN-S4_2022","NIN-S4",2022,"Cenolia trichoptera",731,9.25,"Ninepin Point","Bassian",-43,147,12,1923,2.86665648018751,12
"NIN-S4_2022","NIN-S4",2022,"Cenolia tasmaniae",5.75,2,"Ninepin Point","Bassian",-43,147,4,346,0.829303772831025,4
"NIN-S4_2022","NIN-S4",2022,"Goniocidaris tubaria",3.66666666666667,2,"Ninepin Point","Bassian",-43,147,5,281,0.669006780958576,5
"NIN-S4_2022","NIN-S4",2022,"Jasus edwardsii",6.5,1,"Ninepin Point","Bassian",-43,147,11,936,0.845098040014257,11
"NIN-S4_2022","NIN-S4",2022,"Petricia vernicina",1,1,"Ninepin Point","Bassian",-43,147,10,1072,0.176091259055681,10
"NIN-S4_2022","NIN-S4",2022,"Australostichopus mollis",1,1,"Ninepin Point","Bassian",-43,147,4,651,0.176091259055681,4
"NIN-S4_2022","NIN-S4",2022,"Haliotis rubra",1.66666666666667,1,"Ninepin Point","Bassian",-43,147,9,1623,0.335792101923193,9
"NIN-S4_2022","NIN-S4",2022,"Nectria ocellata",1,1,"Ninepin Point","Bassian",-43,147,9,719,0.176091259055681,9
"NIN-S2_2022","NIN-S2",2022,"Cenolia trichoptera",297,127.5,"Ninepin Point","Bassian",-43,147,15,1923,2.55720633976553,15
"NIN-S2_2022","NIN-S2",2022,"Cenolia tasmaniae",4,1,"Ninepin Point","Bassian",-43,147,8,346,0.653212513775344,8
"NIN-S2_2022","NIN-S2",2022,"Heliocidaris erythrogramma",41.75,14.6666666666667,"Ninepin Point","Bassian",-43,147,15,2169,1.69093404873948,15
"NIN-S2_2022","NIN-S2",2022,"Haliotis rubra",7.33333333333333,1,"Ninepin Point","Bassian",-43,147,15,1623,0.893946607552074,15
"NIN-S2_2022","NIN-S2",2022,"Jasus edwardsii",1,1,"Ninepin Point","Bassian",-43,147,8,936,0.176091259055681,8
"TI-S3_2022","TI-S3",2022,"Cenolia trichoptera",364,8.33333333333333,"Tinderbox","Bassian",-43,147,14,1923,2.56604446548779,14
"TI-S3_2022","TI-S3",2022,"Heliocidaris erythrogramma",1,1,"Tinderbox","Bassian",-43,147,13,2169,0.176091259055681,13
"TI-S3_2022","TI-S3",2022,"Jasus edwardsii",11,1.75,"Tinderbox","Bassian",-43,147,14,936,1.0746336182969,14
"TI-S3_2022","TI-S3",2022,"Phlyctenactis tuberculosa",2,1,"Tinderbox","Bassian",-43,147,6,195,0.397940008672038,6
"TI-S3_2022","TI-S3",2022,"Guinusia chabrus",4,1,"Tinderbox","Bassian",-43,147,13,1164,0.653212513775344,13
"TI-S3_2022","TI-S3",2022,"Australostichopus mollis",1,1,"Tinderbox","Bassian",-43,147,5,651,0.176091259055681,5
"TI-S2_2022","TI-S2",2022,"Cenolia trichoptera",590,50.5,"Tinderbox","Bassian",-43,147,14,1923,2.78905162237484,14
"TI-S2_2022","TI-S2",2022,"Haliotis rubra",3,1,"Tinderbox","Bassian",-43,147,15,1623,0.544068044350276,15
"TI-S2_2022","TI-S2",2022,"Heliocidaris erythrogramma",17,2.33333333333333,"Tinderbox","Bassian",-43,147,15,2169,1.25927524755698,15
"TI-S2_2022","TI-S2",2022,"Jasus edwardsii",5,3,"Tinderbox","Bassian",-43,147,15,936,0.812913356642856,15
"TI-S2_2022","TI-S2",2022,"Guinusia chabrus",1,1,"Tinderbox","Bassian",-43,147,13,1164,0.176091259055681,13
"RI10_2022","RI10",2022,"Chromodoris westraliensis",3,1,"Rottnest Island","Leeuwin",-32,116,12,378,0.544068044350276,12
"RI10_2022","RI10",2022,"Comatula purpurea",2,1,"Rottnest Island","Leeuwin",-32,116,6,36,0.397940008672038,6
"RI10_2022","RI10",2022,"Fromia polypora",5,1.66666666666667,"Rottnest Island","Leeuwin",-32,116,13,553,0.765916793966632,13
"RI10_2022","RI10",2022,"Panulirus cygnus",6,1,"Rottnest Island","Leeuwin",-32,116,9,380,0.812913356642856,9
"RI10_2022","RI10",2022,"Phyllacanthus irregularis",2,1,"Rottnest Island","Leeuwin",-32,116,11,621,0.397940008672038,11
"RI10_2022","RI10",2022,"Turbo kenwilliamsi",1,1,"Rottnest Island","Leeuwin",-32,116,10,300,0.176091259055681,10
"RI10_2022","RI10",2022,"Centrostephanus tenuispinus",2.5,1,"Rottnest Island","Leeuwin",-32,116,11,395,0.477121254719662,11
"RI10_2022","RI10",2022,"Dicathais orbita",2,1,"Rottnest Island","Leeuwin",-32,116,12,1606,0.397940008672038,12
"RI2_2022","RI2",2022,"Astralium tentorium",1,1,"Rottnest Island","Leeuwin",-32,116,8,221,0.176091259055681,8
"RI2_2022","RI2",2022,"Chromodoris westraliensis",3.5,1,"Rottnest Island","Leeuwin",-32,116,15,378,0.602059991327962,15
"RI2_2022","RI2",2022,"Dicathais orbita",3,1,"Rottnest Island","Leeuwin",-32,116,13,1606,0.544068044350276,13
"RI2_2022","RI2",2022,"Fromia polypora",2.5,1,"Rottnest Island","Leeuwin",-32,116,15,553,0.477121254719662,15
"RI2_2022","RI2",2022,"Heliocidaris erythrogramma",4,1.5,"Rottnest Island","Leeuwin",-32,116,14,2169,0.676693609624867,14
"RI2_2022","RI2",2022,"Phyllacanthus irregularis",1,1,"Rottnest Island","Leeuwin",-32,116,12,621,0.176091259055681,12
"RI2_2022","RI2",2022,"Plectaster decanus",1,1,"Rottnest Island","Leeuwin",-32,116,7,659,0.176091259055681,7
"RI2_2022","RI2",2022,"Centrostephanus tenuispinus",1,1,"Rottnest Island","Leeuwin",-32,116,15,395,0.176091259055681,15
"RI23_2022","RI23",2022,"Centrostephanus tenuispinus",15,7,"Rottnest Island","Leeuwin",-32,116,14,395,1.26717172840301,14
"RI23_2022","RI23",2022,"Chromodoris westraliensis",1,1,"Rottnest Island","Leeuwin",-32,116,15,378,0.176091259055681,15
"RI23_2022","RI23",2022,"Fromia polypora",11.5,4,"Rottnest Island","Leeuwin",-32,116,15,553,1.13033376849501,15
"RI23_2022","RI23",2022,"Heliocidaris erythrogramma",1,1,"Rottnest Island","Leeuwin",-32,116,9,2169,0.176091259055681,9
"RI23_2022","RI23",2022,"Phyllacanthus irregularis",1.5,1.5,"Rottnest Island","Leeuwin",-32,116,12,621,0.352182518111362,12
"RI23_2022","RI23",2022,"Pseudonepanthia troughtoni",1,1,"Rottnest Island","Leeuwin",-32,116,15,341,0.176091259055681,15
"RI23_2022","RI23",2022,"Turbo kenwilliamsi",6,1,"Rottnest Island","Leeuwin",-32,116,9,300,0.812913356642856,9
"RI23_2022","RI23",2022,"Astralium tentorium",6,1,"Rottnest Island","Leeuwin",-32,116,10,221,0.812913356642856,10
"RI23_2022","RI23",2022,"Echinaster arcystatus",1,1,"Rottnest Island","Leeuwin",-32,116,5,233,0.176091259055681,5
"RI16_2022","RI16",2022,"Centrostephanus tenuispinus",41,4,"Rottnest Island","Leeuwin",-32,116,10,395,1.63346845557959,10
"RI16_2022","RI16",2022,"Dicathais orbita",4,1,"Rottnest Island","Leeuwin",-32,116,11,1606,0.653212513775344,11
"RI16_2022","RI16",2022,"Echinometra mathaei",7,1,"Rottnest Island","Leeuwin",-32,116,4,1030,0.8750612633917,4
"RI16_2022","RI16",2022,"Fromia polypora",2,1.5,"Rottnest Island","Leeuwin",-32,116,11,553,0.439332693830263,11
"RI16_2022","RI16",2022,"Phyllidiella pustulosa",1,1,"Rottnest Island","Leeuwin",-32,116,4,403,0.176091259055681,4
"RI16_2022","RI16",2022,"Turbo torquatus",1,1,"Rottnest Island","Leeuwin",-32,116,10,1239,0.176091259055681,10
"RI16_2022","RI16",2022,"Heliocidaris erythrogramma",1,1,"Rottnest Island","Leeuwin",-32,116,11,2169,0.176091259055681,11
"RI16_2022","RI16",2022,"Chromodoris westraliensis",1,1,"Rottnest Island","Leeuwin",-32,116,10,378,0.176091259055681,10
"RI9_2022","RI9",2022,"Astralium tentorium",1,1,"Rottnest Island","Leeuwin",-32,116,7,221,0.176091259055681,7
"RI9_2022","RI9",2022,"Australostichopus mollis",1,1,"Rottnest Island","Leeuwin",-32,116,6,651,0.176091259055681,6
"RI9_2022","RI9",2022,"Chromodoris westraliensis",1,1,"Rottnest Island","Leeuwin",-32,116,12,378,0.176091259055681,12
"RI9_2022","RI9",2022,"Panulirus cygnus",5,2.66666666666667,"Rottnest Island","Leeuwin",-32,116,11,380,0.801632346233166,11
"RI9_2022","RI9",2022,"Phyllacanthus irregularis",1,1,"Rottnest Island","Leeuwin",-32,116,8,621,0.176091259055681,8
"RI9_2022","RI9",2022,"Turbo kenwilliamsi",1,1,"Rottnest Island","Leeuwin",-32,116,5,300,0.176091259055681,5
"JBMP-S6_2022","JBMP-S6",2022,"Astralium tentoriiforme",40.3333333333333,8.5,"Jervis Bay","Cape Howe",-35,151,10,1233,1.6491725359736,10
"JBMP-S6_2022","JBMP-S6",2022,"Centrostephanus rodgersii",219,30.25,"Jervis Bay","Cape Howe",-35,151,10,1919,2.36944779038329,10
"JBMP-S6_2022","JBMP-S6",2022,"Cabestana spengleri",1,1,"Jervis Bay","Cape Howe",-35,151,4,823,0.176091259055681,4
