species_name,slope,intercept,p_value,decade_change_lwr,decade_change_upr,se,sd_residuals,aic,bic,sig,decade_change,thirtyyear_change,fourteenyear_change,biogeog,taxon,class,max_depth,max_length,endemism,IUCN,IUCN_category,date_assessed,slope_category,new
Gigartina muelleriana,-0.0042378743397030755,7.980869136899588,0.06401643495864774,-18.163559029083498,0.5300224078477207,0.0022793542691259567,0.28070404713870606,206.0609019978076,221.08387085215526,,-9.297082491329359,-26.103155216119124,NA,temperate (cool),Macroalgae,Red algae,2,15,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Hemineura frondosa,-0.004750379376597452,8.521915972475583,0.0011154480794878438,-16.05239713498266,-4.284094300439048,0.001453491347003998,0.3788723790756079,1298.195009267453,1318.460877148001,**,-10.361164445692433,-28.757649563457026,NA,temperate (cool),Macroalgae,Red algae,604,60,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Lenormandia marginata,-0.006390971772626054,12.344551926030757,2.718099697030218e-5,-19.391406819993197,-7.572922122207965,0.0015157901270425084,0.3916905003718876,1228.4996875250986,1248.2138387977573,***,-13.684203534534126,-36.63055915429701,NA,temperate (cool),Macroalgae,Red algae,25,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Lessonia corrugata,-0.013868505597215064,27.89698635521952,3.941438785455952e-8,-35.020685591564266,-18.74412651894016,0.0024765668953119512,0.40833814878979025,585.8234903147262,602.1614879670269,***,-27.33672901349773,-62.83994685058456,NA,temperate (cool),Macroalgae,Brown algae,20,200,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Mastophoropsis canaliculata,0.004730519249953606,-10.345904495970514,0.011886600723507095,2.480856553915603,21.329843756871057,0.0018705673228426901,0.2583039478485441,150.51531671567804,166.18012496610777,*,11.507785888506001,40.16710280464677,NA,temperate (cool),Macroalgae,Red algae,18,15,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Melanthalia obtusata,-0.004798961191668978,9.347379071809506,0.010332613645921196,-17.698412012017055,-2.5879773046384402,0.0018674921314129269,0.3981019208354185,1263.0365003508648,1282.663519465459,*,-10.46138175653112,-29.00427425656542,NA,temperate (cool),Macroalgae,Red algae,16,60,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Perithalia caudata,-0.005513857446941652,10.808777403378867,0.0030898882124090663,-19.00257681087175,-4.225112970518936,0.0018566781401707381,0.3722781242903652,808.6320413781955,826.8420729263338,**,-11.923220678672287,-32.53625913635862,NA,temperate (cool),Macroalgae,Brown algae,18,100,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Phacelocarpus peperocarpos,0.0015421189492927495,-3.1386116154096477,0.30465503624768,-3.174925132654474,10.880337075277952,0.0015017290246399045,0.40797304427483216,1965.9103407662697,1987.0276161079282,,3.6146560030494697,11.636365122421491,NA,temperate (cool),Macroalgae,Red algae,30,50,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Phyllospora comosa,0.008663182927660468,-16.393545712386913,1.191190395780074e-8,14.037468897692845,30.682095294378982,0.0015094287490246576,0.4023788942120743,1840.9820624729077,1861.8253362867965,***,22.076432523308515,85.59175165834117,NA,temperate (cool),Macroalgae,Brown algae,30,300,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Plocamium dilatatum,-0.002431247169954578,4.402937807418003,0.1365769516832857,-12.15886883484351,1.7834428436235081,0.0016321528777117394,0.44707949352765064,1961.7112430009274,1982.563369640267,,-5.444340448242212,-15.931879563730167,NA,temperate (cool),Macroalgae,Red algae,22,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Plocamium patagiatum,0.0012464939587787205,-3.326597078135244,0.34857423933374254,-3.079258821733581,9.273071985017754,0.0013290148773932157,0.3050323266778349,611.5509837985486,630.5694001965004,,2.9117443619239443,9.305323198470582,NA,temperate (cool),Macroalgae,Red algae,26,30,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Sargassum vestitum,0.007575901943102743,-15.855867808817766,3.297176222076983e-6,10.66615294062672,28.086460871183817,0.0016196321331077362,0.41174676457775,1350.5678332989128,1370.4507536114868,***,19.058119707956187,71.7326850672277,NA,temperate (cool),Macroalgae,Brown algae,100,150,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Zonaria angustata,-0.016748473527287668,33.05235132377448,3.2456066154540644e-30,-36.234313563559986,-27.482388690819292,0.0014249356481727915,0.3851583361579413,1456.9032247221633,1477.3817672742339,***,-31.99900542006186,-69.74498861778451,NA,temperate (cool),Macroalgae,Brown algae,26,15,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Amphiroa anceps,0.007265380412797221,-14.975454946937514,4.554516358408846e-6,10.086510093068837,26.932695914559606,0.0015775647009152818,0.3696079808266996,1584.8447271198938,1605.5771739268669,***,18.209887530352812,67.96809348341795,NA,temperate (warm),Macroalgae,Red algae,145,20,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Carpoglossum confluens,-0.012540627964688876,25.24567539100209,2.811136055973436e-15,-30.18191371469583,-19.606765890920304,0.0015625684946787585,0.3933796896068474,1350.0442772647134,1369.9496695465043,***,-25.080698376303705,-59.145440418822574,NA,temperate (cool),Macroalgae,Brown algae,40,200,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Champia viridis,-0.01207065790867159,23.286467046546186,1.0493270854913425e-16,-28.990203971839808,-19.22656045685892,0.001427330092342182,0.3527864336281902,931.8672169591123,951.4255821925301,***,-24.26555957524065,-57.75166434987462,NA,temperate (cool),Macroalgae,Red algae,15,15,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Echinothamnion hystrix,0.01084413629582101,-22.405044560237116,9.098484876333528e-12,19.58118922401239,37.79068456756677,0.001570360224799782,0.38901866383369993,1175.2663537758854,1194.960868288439,***,28.363444658440063,116.85439336531951,NA,temperate (cool),Macroalgae,Red algae,24,35,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Sargassum fallax,0.008369133930299364,-16.936797812487946,1.354325845824157e-7,12.913100919177714,30.20820264141284,0.0015789578278964714,0.4394017406786004,2002.0816735086821,2023.05000294571,***,21.252678013125344,81.73691510334442,NA,temperate (cool),Macroalgae,Brown algae,100,100,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Sargassum sonderi,0.010204391281576382,-20.916364011596276,3.7028298551105504e-6,14.60823580813104,39.59568631771951,0.0021851465522242084,0.44578314939554375,943.4441128255285,961.3704213426342,***,26.486423521654494,107.17441907012022,NA,temperate (cool),Macroalgae,Brown algae,100,50,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Cystophora moniliformis,-0.007848515897828447,15.660900211580289,2.516222408414572e-6,-22.55474589954717,-10.043018766090146,0.0016592157936757917,0.4268745729038395,1750.8779600720836,1771.4079502787238,***,-16.532992926726934,-42.892124089915114,NA,temperate (cool),Macroalgae,Brown algae,132,400,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Dictyomenia tridens,5.491128304409377e-4,-1.746402610726304,0.729047083191132,-5.716194814111479,8.77902322574959,0.0015844182198144095,0.29797842972524996,422.3455436237905,439.8795701633265,,1.2724060844207294,3.997403817674008,NA,temperate (warm),Macroalgae,Red algae,30,40,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Plocamium mertensii,0.005371114741626087,-11.492214360815037,5.351330194542864e-5,6.600909351882872,20.132740770624068,0.0013240160632924248,0.31595859855662073,839.9151706308767,859.9346985897281,***,13.164744550069507,46.725148248870774,NA,temperate (cool),Macroalgae,Red algae,50,50,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Pollexfenia lobata,-0.00425527586153574,7.9985542951736335,0.0107386826067577,-15.891201666022805,-2.2643389933973435,0.0016635924642458876,0.3690451565389818,794.2086146976311,812.6675170984462,*,-9.33341849588524,-26.19488720570343,NA,temperate (cool),Macroalgae,Red algae,364,50,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Thamnoclonium dichotomum,-0.0020476524191044205,3.673586664710447,0.228926622053272,-11.653149670664636,3.0044246476676966,0.0017006641484107498,0.39877471355383387,1101.0697133136732,1120.1344801723146,,-4.605469299299969,-13.598203019742261,NA,temperate (cool),Macroalgae,Red algae,32,30,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Acrocarpia paniculata,-0.009609696720015345,19.364072375211805,1.6076463622537712e-7,-26.181670557758018,-12.975436623343272,0.0018234427001256042,0.4867675881223108,2183.0443527096018,2203.791956791248,***,-19.850091148490463,-49.63841363878124,NA,temperate (cool),Macroalgae,Brown algae,42,150,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Zonaria spiralis,0.008248992214844784,-17.143569141546944,7.669132218572056e-11,14.33404006586838,27.880490816428484,0.001240551995145,0.21445536564036718,44.77361845650415,61.97676163515713,***,20.9177123528585,80.18505167922207,NA,temperate (cool),Macroalgae,Brown algae,150,22,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Apjohnia laetevirens,-4.4681447405437607e-4,-0.19931044337397963,0.7530065361582425,-7.163833268764401,5.522849610927987,0.0014191411495671062,0.2436089581214058,145.71027275105286,162.88394986643877,,-1.0235540119003517,-3.1390439631604075,NA,temperate (cool),Macroalgae,Green algae,30,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Phyllotricha decipiens,0.0031992959918795386,-6.8733956218427466,0.0438278767791196,0.21880210820938717,15.620997650365467,0.0015838940279550011,0.30943378592546017,487.0025852580127,504.94722841378905,*,7.644776385460158,25.654537432441458,NA,temperate (cool),Macroalgae,Brown algae,13,50,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Dilophus marginatus,0.004701535919794823,-10.140830717171527,0.16173901326750076,-4.193459745251086,29.60911975326909,0.0033480310054552938,0.2780425164378387,146.17390666080075,159.89128917661853,,11.43339422733225,39.877420078314394,NA,temperate (cool),Macroalgae,Brown algae,8,12,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Dictyopteris acrostichoides,-0.0033157446650892634,6.071260609601956,0.2196970314020552,-17.956044626275126,4.625733802341458,0.002693721111417878,0.24107038910169146,83.62501007436914,97.46335213094578,,-7.350612333256698,-21.075486163420496,NA,temperate (cool),Macroalgae,Brown algae,3,55,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Pachydictyon paniculatum,0.007313492340016604,-15.25347830574438,9.91563650457241e-6,9.895300391173704,27.435587755392852,0.0016406323373802567,0.3082288510167433,471.5135492621231,489.35316707963324,***,18.34091514309224,68.54592719745433,NA,temperate (warm),Macroalgae,Brown algae,11,35,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Cystophora monilifera,0.005857146326535832,-12.00278784791783,3.9026863622011846e-4,6.249676936392831,23.258054432696746,0.0016451243652725312,0.35432714130526693,985.2619376201095,1004.6751339928538,***,14.43831728613551,51.90481360108713,NA,temperate (cool),Macroalgae,Brown algae,132,100,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Caulerpa cactoides,-0.005760872711615073,10.882791258668497,0.007570499190924629,-20.515811927866775,-3.5056681123833164,0.0021485359386426406,0.33689160995245193,534.4017984808719,551.6848716578742,**,-12.42275624541395,-33.71535328108376,NA,temperate (cool),Macroalgae,Green algae,38,40,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Cystophora expansa,0.0038608173874739647,-8.038097333784831,0.007830504062698734,2.405058094637163,16.65273873282484,0.0014432288457402447,0.22819553027757947,66.63035660076929,82.19693344807239,**,9.296982972236966,31.73019630480067,NA,temperate (cool),Macroalgae,Brown algae,4,60,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Caulerpa scalpelliformis,0.006261072616862692,-13.358878247875824,3.724608399006757e-4,6.722080240239499,25.01645229078861,0.0017529120158262,0.4350275669415221,1371.1764449510374,1390.7833937776636,***,15.507644131146629,56.34833156212575,NA,temperate (cool),Macroalgae,Green algae,36,20,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Plocamium preissianum,-1.091520224255541e-4,-0.5023944856457766,0.9405359408965343,-6.623064609595216,6.555861127921232,0.0014627239897494846,0.28105183763567837,489.1291849777052,507.7817157616684,,-0.25101624572388154,-0.7761013012881788,NA,temperate (warm),Macroalgae,Red algae,50,50,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Lobospira bicuspidata,0.019723967126387163,-40.097774457032,1.2637176388756e-13,39.99761986813409,77.15715217531691,0.002608161143106165,0.4187204334663529,1019.6401792337318,1038.0721817349163,***,57.48517278512474,308.73608510103224,NA,temperate (warm),Macroalgae,Brown algae,13,25,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Botryocladia sonderi,-5.386522096490195e-4,0.6033947461523146,0.8611811016626132,-14.04141394085735,13.484798972642093,0.0030778226157170234,0.3855010181295863,453.9401028229073,469.48451894870794,,-1.2326326214252736,-3.771928658500421,NA,temperate (warm),Macroalgae,Red algae,10,20,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Callophycus dorsifer,0.0013296954952316106,-3.137982043292658,0.6936828119225324,-11.444547768062275,20.054544594674983,0.0033715746940828654,0.3428370235198874,270.4687761583951,284.506329504907,,3.109090234958636,9.956412116828638,NA,temperate (cool),Macroalgae,Red algae,8,25,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Callophycus harveyanus,7.293408969607021e-4,-2.068616877652355,0.8253787958813616,-12.377157451701066,18.023769176881977,0.003299860180207845,0.2761845267987863,100.25409740677961,112.72607265644663,,1.6935501570413896,5.343942499275621,NA,temperate (cool),Macroalgae,Red algae,14,40,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Callophycus oppositifolius,-0.00842632729017318,16.835830349723295,0.037946180715550656,-31.354338099633257,-1.176471297497586,0.004036994085426116,0.42769248204370486,396.5848132165979,410.8886096291832,*,-17.636133291877712,-45.19958416419452,NA,temperate (cool),Macroalgae,Red algae,38,30,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Caulerpa simpliciuscula,0.002003337408760646,-4.768239958080657,0.3375284680565255,-4.694132646993739,15.066024890468356,0.0020874738671272553,0.42366152920186,1031.0560624913714,1049.6312214239622,,4.720901949174641,15.372807160693974,NA,temperate (cool),Macroalgae,Green algae,38,30,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Caulocystis uvifera,-0.0011068122551655506,1.7331694945254534,0.5154431817625436,-9.715009130850316,5.256323493097809,0.0016998434283716746,0.26089380503956644,162.01399711327906,177.27051924057932,,-2.5163285185945456,-7.596415184095953,NA,temperate (cool),Macroalgae,Brown algae,14,60,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Claviclonium ovatum,-0.00859993838547791,16.550122273316624,6.016318673457209e-4,-26.663426954847193,-8.234249586122235,0.002483719325317965,0.31337924629588293,326.2412325239004,342.06458200175973,***,-17.96472918146294,-45.87450140219183,NA,temperate (cool),Macroalgae,Red algae,14,30,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Curdiea irvineae,-0.024730531814486142,49.75682541839692,2.8317578270899714e-10,-52.27462982935024,-32.91273946111332,0.0037727926051838597,0.42261187463513,427.0974270158101,441.91255691443496,***,-43.41586491821942,-82.88592173478023,NA,temperate (cool),Macroalgae,Red algae,14,30,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Vulnerable
Galaxaura obtusata,0.013057814426525299,-27.126409077884478,6.910595045489243e-4,13.85331236390044,60.254642012229596,0.003787440722074399,0.3648322832107977,231.01673873966126,244.5363281538231,***,35.07598533708219,153.97574750643327,NA,tropical,Macroalgae,Red algae,20,14,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Hennedya crispa,0.005516101445521733,-11.073649824540544,0.2328210665768777,-7.790438993665506,39.812523514697396,0.004611567393139837,0.49275872439695595,468.9614925729653,483.34033809137264,,13.543169836314553,48.25151658556926,NA,temperate (cool),Macroalgae,Red algae,22,20,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Hypnea ramentacea,-0.0015185932579219778,2.6980989397629855,0.38490075655437783,-10.756405069207526,4.484309876838268,0.0017468183791925112,0.3965439100310796,1127.7885502338597,1147.0773397963417,,-3.436262358626707,-10.272904644114982,NA,temperate (warm),Macroalgae,Red algae,25,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Kuetzingia canaliculata,0.012466850057743398,-25.58541404909395,0.0011051258919982133,12.446709178196654,57.90295267620106,0.003761382918016703,0.3546369868456521,230.94417424441536,244.29432656322064,**,33.25039361277449,143.4850786680026,NA,temperate (cool),Macroalgae,Red algae,12,50,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Metagoniolithon radiatum,0.0019984674649086843,-4.6873250929004175,0.3078558076369919,-4.147316139998851,14.383945221137584,0.0019582195076355926,0.33311017747640975,691.2350672099403,709.4107145921995,,4.709159770964808,15.332708551059154,NA,temperate (cool),Macroalgae,Red algae,32,15,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Metagoniolithon stelliferum,0.01101912272535941,-22.545759358379883,6.907389706736317e-6,15.626640237048377,43.65625745711914,0.0024048054501299996,0.3050622704164961,263.401174247641,278.3859870098016,***,28.88169148019117,119.58001200341157,NA,temperate (cool),Macroalgae,Red algae,22,30,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Metamastophora flabellata,-0.0021637367168516213,3.950727887323191,0.2257452972939305,-12.221785997988405,3.1189602877204035,0.0017845171122025342,0.3404556699970384,785.3940178071036,803.8097931055055,,-4.860112656149953,-14.311180104606642,NA,temperate (warm),Macroalgae,Red algae,48,23,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Myriodesma quercifolium,0.018962149670401333,-38.519975772892565,4.202590053565448e-6,29.414940845134822,85.03699856702018,0.003961148223117299,0.3227343786563638,164.2075838827367,176.55796922366625,***,54.74673574493328,287.1030915602964,NA,temperate (cool),Macroalgae,Brown algae,48,50,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Myriodesma serrulatum,0.006573147388646727,-13.423359925441533,0.2074546021732555,-7.954055757768906,47.04771845879299,0.005190239078336,0.41068702528356266,225.61323219958604,237.8636123316939,,16.34064678436968,59.8702186922318,NA,temperate (warm),Macroalgae,Brown algae,5,30,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Neurymenia fraxinifolia,0.0027163182477985414,-5.351834177231133,0.4125712113490769,-8.311856618591692,23.598496052595838,0.0033087344624725588,0.33666435564812514,313.40569764860135,327.4915413200503,,6.454293609026355,21.396416133594272,NA,tropical,Macroalgae,Red algae,10,9,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Osmundaria spiralis,-0.008179608270451968,16.07164190948463,0.029463534297887273,-29.994294478716533,-1.9890953518709393,0.0037281542449605107,0.35773005585106776,255.14237933179163,268.60628339187906,*,-17.166899558983058,-44.22595488786844,NA,temperate (cool),Macroalgae,Red algae,25,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Thuretia quercifolia,-0.005305044014968565,9.99895362024809,0.12254526053243753,-24.164116130946848,3.2819352283236416,0.0034222469155045297,0.31184848504962487,196.46070252295243,210.36655673067847,,-11.498718394894482,-31.52317185907413,NA,temperate (cool),Macroalgae,Red algae,20,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Caulerpa obscura,-0.0025046413256864003,4.63522909575989,0.333414029530231,-16.00685297944405,6.087281317534667,0.00258727882817327,0.4142651521049382,889.8087629095126,907.6671161242724,,-5.604001055580936,-16.371151123889188,NA,temperate (warm),Macroalgae,Green algae,35,30,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Curdiea obesa,0.0025140817273794185,-5.204114996356843,0.3963967015165032,-7.273893161126146,21.082006298743398,0.002956115095939237,0.2530813307077885,103.4976299083862,116.13385110524432,,5.959723727095616,19.656565612864703,NA,temperate (cool),Macroalgae,Red algae,20,15,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Kallymenia cribrosa,0.007451160266338536,-15.800640878301177,0.00586338581330089,5.198821056470862,33.97147303901061,0.002678657888084397,0.32522831362250765,222.33003495602,236.35136109974945,**,18.71664171000941,70.21035137616983,NA,temperate (warm),Macroalgae,Red algae,40,30,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Caulerpa longifolia,0.004450649739458165,-9.635324771328914,0.015359855842342113,2.0012584823737223,20.339295507347458,0.0018317156639839642,0.38869110058682993,882.6531870954859,901.0905840681554,*,10.791514055146074,37.3947511826219,NA,temperate (cool),Macroalgae,Green algae,40,30,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Caulocystis cephalornithos,-0.008683548020339769,16.86288972933604,3.382268251899721e-5,-25.445358819096715,-10.080402292952137,0.002076050159878793,0.3963703264963793,640.5282678139467,657.7093318197053,***,-18.12251016194927,-46.19656401695861,NA,temperate (cool),Macroalgae,Brown algae,7,100,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Codium pomoides,4.93974228431667e-4,-2.059210511759772,0.7624327886570795,-6.043823169826554,8.881513213686075,0.0016334180599257776,0.28799958217531074,413.46480648441684,431.54139563617844,,1.143910884649609,3.58889516199108,NA,temperate (cool),Macroalgae,Green algae,20,12,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Phyllotricha varians,-0.004411100531602886,8.405868822744985,0.020752289882064758,-17.094730173888113,-1.5545038126376935,0.0019034460770674991,0.4229365523410424,1044.524368032561,1063.1871029036906,*,-9.658146883192847,-27.01125714238179,NA,temperate (cool),Macroalgae,Brown algae,38,50,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Areschougia congesta,0.008878523950905354,-18.318973939475615,4.217627216002846e-11,15.570638230175412,30.233576492038832,0.0013233777799640822,0.26670923905641203,334.9588208165319,353.1859342411641,***,22.68324072253429,88.46653346002236,NA,temperate (cool),Macroalgae,Red algae,20,40,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Cystophora subfarcinata,-4.726713333154873e-4,0.48806111179088646,0.8212959122533535,-9.992093395483389,8.7091030166011425,0.002091498923046103,0.35809889039712195,517.9089809238837,535.0080290088515,,-1.0824646921537233,-3.3176520776295875,NA,temperate (cool),Macroalgae,Brown algae,132,200,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Seirococcus axillaris,0.006226636814508264,-12.536115941162178,0.003102249529908103,4.988918867621133,26.8788614178481,0.0020981459307433765,0.3923436891297858,976.3087265807503,994.8420003138718,**,15.416092844172766,55.96449424546752,NA,temperate (cool),Macroalgae,Brown algae,12,200,endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Dictyomenia harveyana,-5.691615107342074e-4,0.14419623985307725,0.7264365698249813,-8.285072567989161,6.212771894965825,0.0016259665164946122,0.3188219565346573,443.9532840331349,461.4533833124473,,-1.3019925900248415,-3.9812621005261026,NA,temperate (cool),Macroalgae,Red algae,28,40,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Caulerpa trifaria,-0.002514046033701561,4.5259536792059105,0.30404996266531137,-15.48107242187435,5.381676029707689,0.0024442062297543653,0.5449581511408664,1274.661689457124,1292.8717210052625,,-5.624440428592284,-16.427273112761213,NA,temperate (cool),Macroalgae,Green algae,31,25,endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
