species_name,slope,intercept,p_value,decade_change_lwr,decade_change_upr,se,sd_residuals,aic,bic,sig,decade_change,thirtyyear_change,fourteenyear_change,biogeog,taxon,class,max_depth,max_length,endemism,IUCN,IUCN_category,date_assessed,slope_category,new
Lobophora variegata,0.014014183365830575,-28.52631343112139,1.5975910747672344e-19,28.88622641180154,47.93711972328429,0.0015273405779738028,0.42685990970981436,2078.7277513241315,2099.9296425812026,***,38.08351497323949,171.91908133839564,NA,temperate (warm),Macroalgae,Brown algae,36,14,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Plocamium angustum,0.006473119824302762,-12.939522020576945,2.22163639809822e-6,9.151888596566728,23.432959499715896,0.0013622670609792509,0.3880328461577329,1842.4118545913382,1863.7203477603753,***,16.072997051241508,58.732813672069504,NA,temperate (cool),Macroalgae,Red algae,50,25,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Plocamium cartilagineum,-0.002630647719382699,4.511280907314455,0.030248802379612413,-10.890357607336705,-0.5826128901263135,0.0012127172844199376,0.32531469634055493,1143.7165440034173,1164.627193998332,*,-5.8774850900496505,-17.119965973918365,NA,temperate (cool),Macroalgae,Red algae,35,20,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Plocamium leptophyllum,8.89780778561957e-4,-2.7308770558726883,0.4836355282084007,-3.6145558568013185,8.089662957801961,0.0012697353140149223,0.28504639566372186,575.5824112703879,595.0376248361997,,2.0699278508435266,6.557299149043007,NA,temperate (cool),Macroalgae,Red algae,33,20,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Stenogramma interruptum,0.0023124365854708096,-5.552555001620637,0.06696326914819352,-0.3639922969212996,11.643235500455052,0.0012606378740866871,0.30615632923266467,603.0274754102145,622.1106331058504,,5.4688876983156804,17.946629326208807,NA,temperate (cool),Macroalgae,Red algae,13,7,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Xiphophora chondrophylla,-0.00456571705990142,9.087719058158921,0.04704116749547065,-18.82468343893016,-0.16986282436229763,0.002291819585805535,0.3077017840466445,397.1868023905335,413.4789805269351,*,-9.979208026326404,-27.8123720834711,NA,temperate (cool),Macroalgae,Brown algae,8,30,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Xiphophora gladiata,-0.004927263144396462,9.58147115447159,0.012980420495920944,-18.343836796807476,-2.3964155273789016,0.001976485235918595,0.37658187205302024,646.69795669672,663.9593887028093,*,-10.725511914584827,-29.651499860379737,NA,temperate (cool),Macroalgae,Brown algae,18,100,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Ulva rigida,0.0038835680783711355,-8.637384295909715,2.9416258044781887e-4,4.224393006415979,14.736602854450656,0.0010646270255470647,0.20896602534666142,-29.015143459200175,-12.237521894781487,***,9.354253635253423,31.944293015448043,NA,temperate (cool),Macroalgae,Green algae,6,40,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Caulerpa flexilis,-0.01294440189368244,25.565833165807533,7.040097413935683e-12,-31.77439827349831,-19.24589886019462,0.0018678203611973317,0.4713123196281492,1904.3614255052653,1924.7582324794776,***,-25.774013026797395,-60.30612101743815,NA,temperate (cool),Macroalgae,Green algae,40,30,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Chaetomorpha coliformis,0.009353766698734965,-19.905190343357678,1.2954787218491514e-16,18.07428425901561,30.2926785323907,0.0010909560328296345,0.2136058002304865,-31.823951547064894,-14.839524485138643,***,24.033119616907843,94.9695402794373,NA,temperate (cool),Macroalgae,Green algae,15,60,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Phyllotricha verruculosa,-9.794957315089547e-4,1.5138699027797542,0.6118793763890276,-10.385012715231865,6.666842096550092,0.001929851542056897,0.486924965370807,1725.2538053249361,1745.166660295459,,-2.230128883235423,-6.7528359604127,NA,temperate (cool),Macroalgae,Brown algae,16,50,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Synarthrophyton patena,0.00832382919774591,-17.611005954447375,2.007082124355827e-15,15.6876483064277,26.820537966677144,0.0010179421301235783,0.19690859148307802,-64.25991321989892,-46.719135623908016,***,21.12625559440407,81.15015298035392,NA,temperate (cool),Macroalgae,Red algae,36,1.5,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Caulerpa brownii,0.004295231033057138,-9.103670719692051,0.018119798058788907,1.7147263362095175,19.817646754674218,0.0018147514774524251,0.44889373521343623,1680.1212175105563,1700.2446474150208,*,10.395738821298307,35.87894368302394,NA,temperate (cool),Macroalgae,Green algae,42,40,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Codium australicum,-7.372804681707002e-4,0.8320115104992756,0.6149911940776029,-7.972297379187723,5.035428181799051,0.001464752164249459,0.2591835407153641,161.32494102838433,177.5707687040964,,-1.6833221199765362,-5.12663479639791,NA,temperate (cool),Macroalgae,Green algae,33,50,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Asparagopsis armata,0.013256842229249879,-27.207311815933718,4.1585466748081596e-15,25.903051099931535,46.25158780685194,0.0016598349633270663,0.37919362491021286,1096.207649082092,1115.7414994277444,***,35.69643006760367,157.60963905004542,NA,temperate (cool),Macroalgae,Red algae,10,25,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Cystophora retroflexa,-0.005823121468240652,11.514978148107469,0.002233972396953456,-19.731711103010376,-4.721795238666027,0.0018992583802830128,0.45254168333655254,1429.1109827620232,1448.5828803979043,**,-12.54819346995004,-34.0092241324419,NA,temperate (cool),Macroalgae,Brown algae,132,200,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Caulerpa geminata,-6.868601168515222e-4,0.6600140239187071,0.7137067950003391,-9.541793007222326,7.106252074688143,0.0018716376395217368,0.46364569628679986,1659.1816704253692,1679.18300826647,,-1.5691129756885591,-4.784569272050705,NA,temperate (cool),Macroalgae,Green algae,25,15,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Solieria robusta,-8.285651148524317e-4,0.8562367586540217,0.6509258239441853,-9.663839677701421,6.5533407132596935,0.0018292541042233068,0.2171681559157765,32.140440817345365,47.0996124660623,,-1.8897575706311207,-5.742811512410309,NA,temperate (cool),Macroalgae,Red algae,5,30,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Dictyopteris australis,0.004890953089377667,-10.339176514634877,0.07363045458525609,-0.9823454125361241,26.504631741771444,0.002714177211810622,0.2217403357253908,51.35674116292962,63.75620687422642,,11.92047144969052,41.78149315817377,NA,temperate (cool),Macroalgae,Brown algae,37,30,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Pterocladia lucida,-0.00435316850302931,8.52406797576684,0.009166238521694159,-16.094104556963824,-2.468668468148807,0.0016671652481610663,0.3629178812922094,1193.405386155644,1213.204811975647,**,-9.53755637872917,-26.70880946192901,NA,temperate (cool),Macroalgae,Red algae,24,40,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Asparagopsis taxiformis,0.01944650190187583,-39.563363101011895,3.6737211478258696e-10,36.84568975074115,78.93649045326215,0.0029711717437212503,0.3138104693664553,247.78737025028835,262.13636488388937,***,56.48222729004521,300.7204985092341,NA,temperate (warm),Macroalgae,Red algae,19,30,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Betaphycus speciosum,0.022658274300337216,-45.85295573630298,1.685607739464826e-8,41.42996316816613,100.73544159186409,0.0038797302057597778,0.414031352062934,394.0216725946043,408.44488085978827,***,68.49334144375963,403.9721102490653,NA,temperate (cool),Macroalgae,Red algae,15,50,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Gloiosaccion brownii,-2.40569258993101e-4,-0.5341921023498063,0.9171251581411415,-10.395296956302001,10.37171985052949,0.002309404809382045,0.27292224329491416,134.7240475077113,148.8576054626214,,-0.5523998196594397,-1.702527068077309,NA,temperate (cool),Macroalgae,Red algae,20,30,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Halimeda cuneata,0.0051235652010731296,-11.206764758937643,0.0972360586325629,-2.0703814138930627,29.28770936926463,0.003077688644114418,0.33050631763928073,226.2737776681122,240.66746550410568,,12.521536011572163,44.155269125894584,NA,tropical,Macroalgae,Green algae,7,15,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Haloplegma preissii,0.007522567963715519,-15.820250829623149,0.009027395543839826,4.48685876625774,35.328630319712175,0.002865563198576221,0.35202225114826646,402.2404383800046,418.2262467344807,**,18.91199890358758,71.08014389754345,NA,temperate (warm),Macroalgae,Red algae,35,20,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Hydroclathrus clathratus,0.009394097620535485,-19.835162748208766,0.0029064549339992015,7.828437547411217,42.938309061354154,0.0031228973815200845,0.3268109732928232,228.730295450291,243.0492147542359,**,24.148356943436482,95.5316325040626,NA,tropical,Macroalgae,Brown algae,33,35,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Sargassopsis heteromorphum,0.006790699430648549,-14.06062089711525,3.719257859714691e-4,7.353762129396273,27.34934631249,0.0018923677193329136,0.2937914641080909,328.51469075908807,344.9958804348919,***,16.924896542033387,62.37220273764906,NA,temperate (cool),Macroalgae,Brown algae,30,45,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Colpomenia peregrina,4.1946636262360704e-4,-1.775293814513796,0.6155310581449562,-2.7622939258105417,4.846665370306242,8.347071101534679e-4,0.15167688389186917,-297.6717781159804,-280.8053537116409,,0.9705364457212611,3.0394322958135915,NA,temperate (cool),Macroalgae,Brown algae,6,25,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Halymenia floresia,0.01783423555881584,-36.172401996038346,3.732999823042012e-6,27.542418335413355,78.25021558280515,0.0037086246870966268,0.3089288116409163,163.55190929384725,176.02388454351427,***,50.779519710867696,257.1587565717503,NA,tropical,Macroalgae,Red algae,14,45,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Laurencia brongniartii,-0.003640699963034825,6.606458221186986,0.11398244546507892,-17.092481117461208,1.998100082393855,0.0022959137118597605,0.2535050106865563,129.33185819956543,144.1469880981902,,-8.041262467538646,-22.885099751185763,NA,tropical,Macroalgae,Red algae,12,5,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Macrocystis pyrifera,-0.010845168324167532,21.402939215214655,5.263182336908453e-6,-29.954430297929967,-13.360495145210729,0.0023555353687631586,0.40749015715413106,680.7093111898032,697.7856963246282,***,-22.0980521664636,-53.889505263418116,NA,temperate (cool),Macroalgae,Brown algae,28,3500,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Melanthalia concinna,-2.3294270136076922e-4,-0.1985908058163957,0.9362451802027496,-12.772559521758636,13.419575329220324,0.0029091067137480622,0.2807275378197703,170.00072354173062,184.3347087768574,,-0.534934494079994,-1.649000856183536,NA,temperate (cool),Macroalgae,Red algae,40,30,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Porites lichen,-0.0026977174380925094,5.7465371887174594,0.6453588442267445,-27.810732676455686,22.34127921575253,0.0058445049249655195,0.2272206775165048,68.54864425433014,79.7973816758198,,-6.02272982252411,NA,-8.329002753172446,tropical,Invertebrate,Anthozoa,30,2,non-endemic,Least Concern,Not applicable,3/01/2008,declining,Near Threatened
Pocillopora damicornis,-0.0018863342263470654,4.153858676629353,0.6145313030298366,-19.12516470160693,13.360018009601646,0.003741050808993161,0.24105667149910762,94.31926178411751,108.94322902739692,,-4.250468481828038,NA,-5.89963221725281,tropical,Invertebrate,Anthozoa,60,35,non-endemic,Least Concern,Not applicable,3/01/2008,declining,Near Threatened
Isopora cuneata,-0.021960323709517678,45.01027825146304,7.554288539874295e-4,-54.831432359180695,-19.470091224578017,0.006406262829720023,0.3104173750384198,192.24537467478666,205.45859430702296,***,-39.68896757945811,NA,-50.73307369780523,tropical,Invertebrate,Anthozoa,15,10,non-endemic,Vulnerable,A4ce,3/01/2008,declining,Vulnerable
Agnewia tritoniformis,0.006533645747659881,-13.669328509204366,2.0826202306915252e-11,11.266869041963714,21.424702312941974,9.679050275917833e-4,0.27557076226031685,931.0279689487147,952.6717764510493,***,16.234876223590867,61.83656947754549,NA,temperate (warm),Invertebrate,Gastropoda,25,3,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Amblypneustes elevatus,-0.0021563996986723,3.5125235191231114,0.51957077179386,-18.163175615847283,10.642820299372026,0.003341246827312116,0.2350524214794253,77.89774230008267,90.60234123037799,,-4.844038262403125,-14.690929580034004,NA,temperate (cool),Invertebrate,Echinoidea,40,5,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Aplysia dactylomela,0.002640530880440719,-6.009724521379031,0.126832241505771,-1.6890518129514567,14.870558553935492,0.0017246961819666889,0.18409645438358008,-65.38053960421351,-50.319775193074136,,6.268685557944491,21.47781959729421,NA,tropical,Invertebrate,Gastropoda,15,25,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Argobuccinum pustulosum,-7.93607617963752e-4,0.5887191862292614,0.3168010077557635,-5.258734047861514,1.7627100248735497,7.920931394951884e-4,0.1640259026000303,-353.61627838669534,-335.94934925664603,,-1.8107542829822827,-5.679834044468542,NA,temperate (cool),Invertebrate,Gastropoda,30,10,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Astrostole rodolphi,0.003336405779475177,-7.645543213407052,0.23983302418596467,-4.9640794719005195,22.69880411549722,0.0028304740565207784,0.23468961741976826,73.58644949708125,87.42479155365788,,7.985155446539011,27.86891642768626,NA,temperate (warm),Invertebrate,Asteroidea,250,12,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Astrostole scabra,-0.0050858083419328464,9.33570927867486,2.3232055637795358e-7,-14.875154749916309,-7.054686255842175,9.737720346417398e-4,0.2257436272307332,37.174993667520454,55.569029781978514,***,-11.050826596354227,-31.252939530769257,NA,temperate (cool),Invertebrate,Asteroidea,146,44,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Australostichopus mollis,-0.013282844140723043,26.059927835321453,2.0599197633258652e-31,-29.975403299610214,-22.537323098328883,0.0011184359783234495,0.3536436591222989,1888.051611011366,1910.3436800355762,***,-26.350202244866455,-62.42067392169569,NA,temperate (cool),Invertebrate,Holothuroidea,140,20,non-endemic,Least Concern,Not applicable,18/05/2010,declining,Near Threatened
Cabestana tabulata,-0.006447417639974054,12.063127632694856,3.950023921719567e-15,-16.888018027440744,-10.589606108391514,8.093100008539168e-4,0.22378305465127132,72.4467170593606,92.76682305905095,***,-13.796316521399579,-37.815430007363574,NA,temperate (cool),Invertebrate,Gastropoda,25,10,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Calcinus imperialis,0.0029793870309135695,-6.836587873984123,0.3848977109996755,-8.220421113364422,24.980333707430365,0.0034208694727797277,0.27209230620102526,123.74879573466356,137.13722585753342,,7.101084946788218,24.54904016116942,NA,temperate (warm),Invertebrate,Malacostraca,30,2,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Ceratosoma amoenum,0.003108769152779569,-7.106847430488204,0.016385374129849712,1.3312250117686502,13.875970202542337,0.001293105321265282,0.2577661723100356,425.23402117163937,445.2644236274468,*,7.420629117629364,25.742072125912035,NA,temperate (warm),Invertebrate,Gastropoda,30,6,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Cerithium echinatum,0.012636507279254106,-26.16487803506683,0.07028993686364993,-2.170341897854529,82.91933331517478,0.006933522152489651,0.3435795557684324,175.0959582819588,187.59181419957181,,33.77195460370585,153.72790463309767,NA,tropical,Invertebrate,Gastropoda,30,8,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Charonia lampas,0.002234893984713654,-5.365274920946754,0.015177793484326454,1.001224908250099,9.7415876470222,9.195219504050756e-4,0.279207682982087,929.7933910971354,951.8678199643964,*,5.280742663249551,17.900760787660168,NA,temperate (warm),Invertebrate,Gastropoda,200,24,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Comanthus wahlbergi,0.04348617843306618,-87.92711933300924,8.335050628238953e-10,99.99967766742273,270.4198682500752,0.0068283136659242,0.6333427926193901,646.731365557702,661.4792669830613,***,172.18349371632854,2363.52917482264,NA,temperate (warm),Invertebrate,Crinoidea,103,8,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Coriocella nigra,0.021583500147567297,-44.22170727392946,3.6380445225470526e-7,36.742662102698205,97.59046008272206,0.0040781857026870915,0.31422670276036796,154.1955051335811,167.22548662169223,***,64.37471070030377,390.53726431011967,NA,temperate (warm),Invertebrate,Gastropoda,15,8,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Coscinasterias muricata,-0.005425763342891795,10.036798449441669,5.678765062112676e-8,-15.618292621736057,-7.692619973700086,9.946130684914236e-4,0.2813699001948669,883.5469506305467,905.159194994907,***,-11.744380744150668,-32.9535831277444,NA,temperate (cool),Invertebrate,Asteroidea,150,50,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Cronia aurantiaca,0.00597954257694452,-12.891493135435093,0.009616708142876044,3.4885329492336443,27.26196393945408,0.0022910214514723615,0.17375813256257752,-54.894380665123194,-40.5603954299964,**,14.761291158353233,55.362200016356944,NA,tropical,Invertebrate,Gastropoda,10,4,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Dardanus crassimanus,0.013090203231893699,-27.20132249597944,2.9510612953946043e-5,17.69784006940994,55.251416621906266,0.003068094099024539,0.20804371230501068,18.629495258094735,32.568682992057354,***,35.176759852108205,162.35328314401022,NA,tropical,Invertebrate,Malacostraca,30,15,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Dardanus lagopodes,0.007717368358705635,-16.328787153126804,0.0023519639601402766,6.63814558701116,33.793428551623585,0.0025133675815460104,0.2164378848119889,56.62044292069763,71.51478332850715,**,19.446570115987775,76.58580417252952,NA,tropical,Invertebrate,Malacostraca,120,6,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Diadema savignyi,0.0033419480852428505,-6.765048545387588,0.26988431601737223,-5.784911105090808,23.799388487948573,0.0030255157283336337,0.37655690818079196,706.9236883156112,724.1047523213698,,7.998936992580955,27.921145199572457,NA,tropical,Invertebrate,Echinoidea,70,8,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Dicathais orbita,-0.0012147670048666206,1.9201291237234352,0.24835980449318426,-7.267903450187313,1.9705075997877333,0.0010521750092009306,0.4157232755895425,4938.320870151648,4963.255944988517,,-2.75834762830844,-8.561844710076054,NA,temperate (warm),Invertebrate,Gastropoda,10,7.5,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Doriprismatica atromarginata,0.003234860907712614,-7.1825640499703205,0.36625023573167703,-8.328396403717884,26.60836187496185,0.003577299438750361,0.37479524001106207,636.5442207129518,653.9755897789842,,7.7329641371485724,26.91575832850088,NA,temperate (warm),Invertebrate,Gastropoda,28,5,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Drupella cornus,0.008304339523359131,-16.952980879469212,0.02043679784608529,3.046726701504466,42.25010301581848,0.003571963306301058,0.4273094218100096,941.2089260960227,958.9213471867611,*,21.071910403412357,84.39063704416641,NA,tropical,Invertebrate,Gastropoda,75,3.8,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Echinaster luzonicus,-0.01032646100181201,20.3254098876249,0.25604150007175713,-47.594254077536384,18.601961869585733,0.009048966432174304,0.41482373288999713,218.3623415021094,230.1289111925466,,-21.16203782667182,-53.27457632711061,NA,tropical,Invertebrate,Asteroidea,60,10,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Echinometra mathaei,0.008446871325288718,-17.040666206019104,0.001674395983635578,7.640499016290151,37.07609506702694,0.002678264049838277,0.3786832525892657,1152.6398296095178,1171.6395543846722,**,21.46991099123745,86.33733607247078,NA,tropical,Invertebrate,Echinoidea,34,8.5,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Echinostrephus aciculatus,0.022938794592891255,-45.933738529513946,1.513498582669103e-6,37.17998281106484,109.64530833858059,0.004698923171593284,0.5117356296907712,880.1966813495458,896.7128821897879,***,69.58519921946865,442.0525938606097,NA,tropical,Invertebrate,Echinoidea,50,2.2,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Fromia indica,0.019291619275589686,-39.53400949476488,0.016099004352610684,9.035639135002556,122.97897353207226,0.007926049680188509,0.36924719641593845,196.98454712361,209.64369101930407,*,55.925157985285104,314.3161065333206,NA,tropical,Invertebrate,Asteroidea,25,7,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Goniobranchus splendidus,7.311862156368306e-5,-0.955094100593978,0.9781374871988004,-11.189711329227507,12.979354924866954,0.002666778824749153,0.2991875168905092,367.4478605115576,384.39333887237245,,0.16850365616461327,0.5402118239991246,NA,temperate (warm),Invertebrate,Gastropoda,25,4.9,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Goniobranchus tinctorius,0.004368425365822198,-9.879604417760802,0.04690435066097422,0.18119758907414446,22.062507769568807,0.002188715453751182,0.2225905290427767,28.203782767328654,43.005557060891405,*,10.581952456452482,37.971571740914015,NA,temperate (warm),Invertebrate,Gastropoda,15,6,non-endemic,Not Evaluated,Not applicable,Not Evaluated,increasing,Least Concern
Guinusia chabrus,-0.003606284812505292,6.692800376979201,1.895512636404203e-4,-11.889824047416871,-3.8723699550431396,9.648689216564527e-4,0.3579036999185239,2919.191823650823,2943.065101650874,***,-7.968361977166085,-23.334691783997723,NA,temperate (cool),Invertebrate,Malacostraca,8,7,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Heliocidaris tuberculata,-0.004424826452062316,8.83064409319796,0.062127090808686544,-18.843204096021697,0.5028965024846389,0.0023687599991426412,0.3902892345077318,1210.7286516318939,1229.848339261783,,-9.686695004496343,-27.82188206245869,NA,temperate (warm),Invertebrate,Echinoidea,10,11.5,non-endemic,Not Evaluated,Not applicable,Not Evaluated,declining,Near Threatened
Holothuria atra,0.006492272528082248,-13.692291720158966,0.1339673630536333,-4.438255792373696,41.111166700207605,0.004318378194125083,0.2998767966879757,234.26651766941745,249.0279554867137,,16.124197379551163,61.3439633092131,NA,tropical,Invertebrate,Holothuroidea,30,50,non-endemic,Least Concern,Not applicable,18/05/2010,increasing,Least Concern
Holothuria leucospilota,0.010913047689568483,-22.89213163286184,0.0024491547235552342,9.582300259546933,50.841395378809864,0.0035403744611583374,0.22407560381351063,33.9809396269728,46.42889078039897,**,28.567286196644552,123.46912374547114,NA,tropical,Invertebrate,Holothuroidea,19,50,non-endemic,Least Concern,Not applicable,18/05/2010,increasing,Least Concern
Holothuria nobilis,-0.002881986110182021,4.924966978095444,0.3939028601744734,-19.63012509290619,8.959972618773293,0.0033718398427357438,0.24891878881404023,63.03483271785415,76.00182077809272,,-6.420625299956509,-19.132048030779224,NA,tropical,Invertebrate,Holothuroidea,45,60,non-endemic,Endangered,A2bd,18/05/2010,declining,Near Threatened
